Epoch	Training Loss	Validation Loss
266	0.9093	0.8030
267	0.9092	0.8029
268	0.9091	0.8027
269	0.9089	0.8026
270	0.9088	0.8024
271	0.9087	0.8023
272	0.9086	0.8022
273	0.9084	0.8020
274	0.9083	0.8019
275	0.9082	0.8017
276	0.9081	0.8016
277	0.9080	0.8014
278	0.9078	0.8013
279	0.9077	0.8011
280	0.9076	0.8010
281	0.9075	0.8008
282	0.9073	0.8007
283	0.9072	0.8005
284	0.9071	0.8004
285	0.9070	0.8002
286	0.9069	0.8001
287	0.9067	0.7999
288	0.9066	0.7998
289	0.9065	0.7996
290	0.9064	0.7995
291	0.9063	0.7993
292	0.9061	0.7992
293	0.9060	0.7990
294	0.9059	0.7989
295	0.9058	0.7988
296	0.9056	0.7986
297	0.9055	0.7985
298	0.9054	0.7983
299	0.9053	0.7982
300	0.9052	0.7980
301	0.9050	0.7979
302	0.9049	0.7977
303	0.9048	0.7976
304	0.9047	0.7974
305	0.9046	0.7973
306	0.9044	0.7971
307	0.9043	0.7970
308	0.9042	0.7968
309	0.9041	0.7967
310	0.9040	0.7965
311	0.9038	0.7964
312	0.9037	0.7963
313	0.9036	0.7961
314	0.9035	0.7960
315	0.9033	0.7958
316	0.9032	0.7957
317	0.9031	0.7955
318	0.9030	0.7954
319	0.9029	0.7952
320	0.9027	0.7951
321	0.9026	0.7949
322	0.9025	0.7948
323	0.9024	0.7946
324	0.9023	0.7945
325	0.9021	0.7943
326	0.9020	0.7942
327	0.9019	0.7941
328	0.9018	0.7939
329	0.9017	0.7938
330	0.9015	0.7936
331	0.9014	0.7935
332	0.9013	0.7933
333	0.9012	0.7932
334	0.9011	0.7930
335	0.9009	0.7929
336	0.9008	0.7927
337	0.9007	0.7926
338	0.9006	0.7924
339	0.9005	0.7923
340	0.9003	0.7922
341	0.9002	0.7920
342	0.9001	0.7919
343	0.9000	0.7917
344	0.8999	0.7916
345	0.8997	0.7914
346	0.8996	0.7913
347	0.8995	0.7911
348	0.8994	0.7910
349	0.8993	0.7908
350	0.8991	0.7907
351	0.8990	0.7906
352	0.8989	0.7904
353	0.8988	0.7903
354	0.8987	0.7901
355	0.8985	0.7900
356	0.8984	0.7898
357	0.8983	0.7897
358	0.8982	0.7895
359	0.8981	0.7894
360	0.8979	0.7892
361	0.8978	0.7891
362	0.8977	0.7890
363	0.8976	0.7888
364	0.8975	0.7887
365	0.8974	0.7885
366	0.8972	0.7884
367	0.8971	0.7882
368	0.8970	0.7881
369	0.8969	0.7879
370	0.8968	0.7878
371	0.8966	0.7877
372	0.8965	0.7875
373	0.8964	0.7874
374	0.8963	0.7872
375	0.8962	0.7871
376	0.8960	0.7869
377	0.8959	0.7868
378	0.8958	0.7866
379	0.8957	0.7865
380	0.8956	0.7863
381	0.8954	0.7862
382	0.8953	0.7861
383	0.8952	0.7859
384	0.8951	0.7858
385	0.8950	0.7856
386	0.8949	0.7855
387	0.8947	0.7853
388	0.8946	0.7852
389	0.8945	0.7851
390	0.8944	0.7849
391	0.8943	0.7848
392	0.8941	0.7846
393	0.8940	0.7845
394	0.8939	0.7843
395	0.8938	0.7842
396	0.8937	0.7840
397	0.8935	0.7839
398	0.8934	0.7838
399	0.8933	0.7836
400	0.8932	0.7835
401	0.8931	0.7833
402	0.8930	0.7832
403	0.8928	0.7830
404	0.8927	0.7829
405	0.8926	0.7827
406	0.8925	0.7826
407	0.8924	0.7825
408	0.8922	0.7823
409	0.8921	0.7822
410	0.8920	0.7820
411	0.8919	0.7819
412	0.8918	0.7817
413	0.8917	0.7816
414	0.8915	0.7815
415	0.8914	0.7813
416	0.8913	0.7812
417	0.8912	0.7810
418	0.8911	0.7809
419	0.8910	0.7807
420	0.8908	0.7806
421	0.8907	0.7805
422	0.8906	0.7803
423	0.8905	0.7802
424	0.8904	0.7800
425	0.8902	0.7799
426	0.8901	0.7797
427	0.8900	0.7796
428	0.8899	0.7795
429	0.8898	0.7793
430	0.8897	0.7792
431	0.8895	0.7790
432	0.8894	0.7789
433	0.8893	0.7787
434	0.8892	0.7786
435	0.8891	0.7785
436	0.8890	0.7783
437	0.8888	0.7782
438	0.8887	0.7780
439	0.8886	0.7779
440	0.8885	0.7777
441	0.8884	0.7776
442	0.8883	0.7775
443	0.8881	0.7773
444	0.8880	0.7772
445	0.8879	0.7770
446	0.8878	0.7769
447	0.8877	0.7767
448	0.8876	0.7766
449	0.8874	0.7765
450	0.8873	0.7763
451	0.8872	0.7762
452	0.8871	0.7760
453	0.8870	0.7759
454	0.8868	0.7758
455	0.8867	0.7756
456	0.8866	0.7755
457	0.8865	0.7753
458	0.8864	0.7752
459	0.8863	0.7750
460	0.8861	0.7749
461	0.8860	0.7748
462	0.8859	0.7746
463	0.8858	0.7745
464	0.8857	0.7743
465	0.8856	0.7742
466	0.8855	0.7741
467	0.8853	0.7739
468	0.8852	0.7738
469	0.8851	0.7736
470	0.8850	0.7735
471	0.8849	0.7733
472	0.8848	0.7732
473	0.8846	0.7731
474	0.8845	0.7729
475	0.8844	0.7728
476	0.8843	0.7726
477	0.8842	0.7725
478	0.8841	0.7724
479	0.8839	0.7722
480	0.8838	0.7721
481	0.8837	0.7719
482	0.8836	0.7718
483	0.8835	0.7717
484	0.8834	0.7715
485	0.8832	0.7714
486	0.8831	0.7712
487	0.8830	0.7711
488	0.8829	0.7709
489	0.8828	0.7708
490	0.8827	0.7707
491	0.8825	0.7705
492	0.8824	0.7704
493	0.8823	0.7702
494	0.8822	0.7701
495	0.8821	0.7700
496	0.8820	0.7698
497	0.8819	0.7697
498	0.8817	0.7695
499	0.8816	0.7694
500	0.8815	0.7693
501	0.8814	0.7691
502	0.8813	0.7690
503	0.8812	0.7688
504	0.8810	0.7687
505	0.8809	0.7686
506	0.8808	0.7684
507	0.8807	0.7683
508	0.8806	0.7681
509	0.8805	0.7680
510	0.8804	0.7679
511	0.8802	0.7677
512	0.8801	0.7676
513	0.8800	0.7674
514	0.8799	0.7673
515	0.8798	0.7672
516	0.8797	0.7670
517	0.8796	0.7669
518	0.8794	0.7667
519	0.8793	0.7666
520	0.8792	0.7665
521	0.8791	0.7663
522	0.8790	0.7662
523	0.8789	0.7660
524	0.8787	0.7659
525	0.8786	0.7658
526	0.8785	0.7656
527	0.8784	0.7655
528	0.8783	0.7653
529	0.8782	0.7652
530	0.8781	0.7651
531	0.8779	0.7649
532	0.8778	0.7648
533	0.8777	0.7647
534	0.8776	0.7645
535	0.8775	0.7644
536	0.8774	0.7642
537	0.8773	0.7641
538	0.8771	0.7640
539	0.8770	0.7638
540	0.8769	0.7637
541	0.8768	0.7635
542	0.8767	0.7634
543	0.8766	0.7633
544	0.8765	0.7631
545	0.8763	0.7630
546	0.8762	0.7628
547	0.8761	0.7627
548	0.8760	0.7626
549	0.8759	0.7624
550	0.8758	0.7623
551	0.8757	0.7622
552	0.8755	0.7620
553	0.8754	0.7619
554	0.8753	0.7617
555	0.8752	0.7616
556	0.8751	0.7615
557	0.8750	0.7613
558	0.8749	0.7612
559	0.8747	0.7610
560	0.8746	0.7609
561	0.8745	0.7608
562	0.8744	0.7606
563	0.8743	0.7605
564	0.8742	0.7604
565	0.8741	0.7602
566	0.8740	0.7601
567	0.8738	0.7599
568	0.8737	0.7598
569	0.8736	0.7597
570	0.8735	0.7595
571	0.8734	0.7594
572	0.8733	0.7592
573	0.8732	0.7591
574	0.8730	0.7590
575	0.8729	0.7588
576	0.8728	0.7587
577	0.8727	0.7586
578	0.8726	0.7584
579	0.8725	0.7583
580	0.8724	0.7581
581	0.8723	0.7580
582	0.8721	0.7579
583	0.8720	0.7577
584	0.8719	0.7576
585	0.8718	0.7575
586	0.8717	0.7573
587	0.8716	0.7572
588	0.8715	0.7570
589	0.8713	0.7569
590	0.8712	0.7568
591	0.8711	0.7566
592	0.8710	0.7565
593	0.8709	0.7564
594	0.8708	0.7562
595	0.8707	0.7561
596	0.8706	0.7559
597	0.8704	0.7558
598	0.8703	0.7557
599	0.8702	0.7555
600	0.8701	0.7554
601	0.8700	0.7553
602	0.8699	0.7551
603	0.8698	0.7550
604	0.8697	0.7549
605	0.8695	0.7547
606	0.8694	0.7546
607	0.8693	0.7544
608	0.8692	0.7543
609	0.8691	0.7542
