Epoch	Training Loss	Validation Loss
1	1.2333	1.0470
2	1.2526	1.0587
3	1.2532	1.0616
4	1.2533	1.0621
5	1.2532	1.0620
6	1.2530	1.0618
7	1.2527	1.0616
8	1.2525	1.0613
9	1.2522	1.0610
10	1.2519	1.0607
11	1.2517	1.0604
12	1.2514	1.0601
13	1.2512	1.0599
14	1.2509	1.0596
15	1.2507	1.0593
16	1.2504	1.0590
17	1.2502	1.0587
18	1.2499	1.0585
19	1.2497	1.0582
20	1.2494	1.0579
21	1.2492	1.0576
22	1.2489	1.0573
23	1.2486	1.0570
24	1.2484	1.0568
25	1.2481	1.0565
26	1.2479	1.0562
27	1.2476	1.0559
28	1.2474	1.0556
29	1.2471	1.0554
30	1.2469	1.0551
31	1.2466	1.0548
32	1.2464	1.0545
33	1.2461	1.0542
34	1.2459	1.0540
35	1.2456	1.0537
36	1.2454	1.0534
37	1.2451	1.0531
38	1.2449	1.0528
39	1.2446	1.0525
40	1.2443	1.0523
41	1.2441	1.0520
42	1.2438	1.0517
43	1.2436	1.0514
44	1.2433	1.0511
45	1.2431	1.0509
46	1.2428	1.0506
47	1.2426	1.0503
48	1.2423	1.0500
49	1.2421	1.0497
50	1.2418	1.0495
51	1.2416	1.0492
52	1.2413	1.0489
53	1.2411	1.0486
54	1.2408	1.0483
55	1.2406	1.0481
56	1.2403	1.0478
57	1.2401	1.0475
58	1.2398	1.0472
59	1.2396	1.0470
60	1.2393	1.0467
61	1.2391	1.0464
62	1.2388	1.0461
63	1.2386	1.0458
64	1.2383	1.0456
65	1.2381	1.0453
66	1.2378	1.0450
67	1.2376	1.0447
68	1.2373	1.0444
69	1.2371	1.0442
70	1.2368	1.0439
71	1.2366	1.0436
72	1.2363	1.0433
73	1.2361	1.0431
74	1.2358	1.0428
75	1.2356	1.0425
76	1.2353	1.0422
77	1.2351	1.0419
78	1.2348	1.0417
79	1.2346	1.0414
80	1.2343	1.0411
81	1.2341	1.0408
82	1.2338	1.0406
83	1.2336	1.0403
84	1.2333	1.0400
85	1.2331	1.0397
86	1.2328	1.0394
87	1.2326	1.0392
88	1.2323	1.0389
89	1.2321	1.0386
90	1.2318	1.0383
91	1.2316	1.0381
92	1.2313	1.0378
93	1.2311	1.0375
94	1.2308	1.0372
95	1.2306	1.0370
96	1.2303	1.0367
97	1.2301	1.0364
98	1.2298	1.0361
99	1.2296	1.0359
100	1.2293	1.0356
101	1.2291	1.0353
102	1.2288	1.0350
103	1.2286	1.0347
104	1.2283	1.0345
105	1.2281	1.0342
106	1.2278	1.0339
107	1.2276	1.0336
108	1.2273	1.0334
109	1.2271	1.0331
110	1.2268	1.0328
111	1.2266	1.0325
112	1.2263	1.0323
113	1.2261	1.0320
114	1.2259	1.0317
115	1.2256	1.0314
116	1.2254	1.0312
117	1.2251	1.0309
118	1.2249	1.0306
119	1.2246	1.0303
120	1.2244	1.0301
121	1.2241	1.0298
122	1.2239	1.0295
123	1.2236	1.0292
124	1.2234	1.0290
125	1.2231	1.0287
126	1.2229	1.0284
127	1.2226	1.0282
128	1.2224	1.0279
129	1.2221	1.0276
130	1.2219	1.0273
131	1.2216	1.0271
132	1.2214	1.0268
133	1.2212	1.0265
134	1.2209	1.0262
135	1.2207	1.0260
136	1.2204	1.0257
137	1.2202	1.0254
138	1.2199	1.0251
139	1.2197	1.0249
140	1.2194	1.0246
141	1.2192	1.0243
142	1.2189	1.0241
143	1.2187	1.0238
144	1.2184	1.0235
145	1.2182	1.0232
146	1.2180	1.0230
147	1.2177	1.0227
148	1.2175	1.0224
